,격자고유번호,NUMPOINTS,x,y,visited,index
48668,다사462440,0,462,440,False,24054
48669,다사461471,1,461,471,False,24042
48670,다사461445,0,461,445,False,24043
48671,다사461428,1,461,428,False,24044
48672,다사461423,0,461,423,False,24045
48673,다사461406,0,461,406,False,24046
48674,다사461404,0,461,404,False,24047
48675,다사461402,0,461,402,False,24048
48676,다사461538,0,461,538,False,24049
48677,다사461528,0,461,528,False,24050
48678,다사461494,0,461,494,False,24051
48679,다사461478,0,461,478,False,24052
48680,다사462463,1,462,463,False,24053
48681,다사467474,0,467,474,False,24085
48682,다사467472,0,467,472,False,24086
48683,다사467451,0,467,451,True,24087
48684,다사471387,0,471,387,False,24130
48685,다사470425,2,470,425,False,24118
48686,다사470413,1,470,413,False,24119
48687,다사470402,0,470,402,False,24120
48688,다사470392,0,470,392,False,24121
48689,다사470382,0,470,382,False,24122
48690,다사470378,0,470,378,False,24123
48691,다사470544,0,470,544,False,24124
48692,다사470511,1,470,511,False,24125
48693,다사471462,0,471,462,False,24126
48694,다사471439,1,471,439,False,24127
48695,다사471394,1,471,394,False,24128
48696,다사471392,0,471,392,False,24129
48697,다사471385,0,471,385,False,24131
48698,다사467444,0,467,444,False,24088
48699,다사471536,0,471,536,False,24132
48700,다사471524,0,471,524,False,24133
48701,다사471510,1,471,510,False,24134
48702,다사472453,1,472,453,False,24135
48703,다사472451,1,472,451,False,24136
48704,다사472446,0,472,446,False,24137
48705,다사472407,0,472,407,False,24138
48706,다사472523,0,472,523,False,24139
48707,다사472515,0,472,515,False,24140
48708,다사472480,0,472,480,False,24141
48709,다사473440,1,473,440,False,24143
48710,다사473428,2,473,428,False,24144
48711,다사470438,1,470,438,False,24117
48712,다사470471,0,470,471,False,24116
48713,다사469528,0,469,528,False,24115
48714,다사469537,0,469,537,False,24114
48715,다사467437,0,467,437,False,24089
48716,다사467429,1,467,429,False,24090
48717,다사467410,1,467,410,False,24091
48718,다사467400,0,467,400,False,24092
48719,다사467388,0,467,388,False,24093
48720,다사467513,0,467,513,False,24094
48721,다사467487,1,467,487,False,24095
48722,다사468473,0,468,473,False,24096
48723,다사468467,1,468,467,False,24097
48724,다사468462,1,468,462,False,24098
48725,다사468459,0,468,459,False,24099
48726,다사468456,0,468,456,False,24100
48727,다사468436,0,468,436,False,24101
