,격자고유구역,NUMPOINTS,x,y,visited,index
28734,다사439533,0,439,533,False,53370
28735,다사563641,0,563,641,False,53371
28736,다사545404,0,545,404,False,53372
28737,다사664470,0,664,470,False,53374
28738,다사492412,0,492,412,False,53359
28739,다사510576,0,510,576,True,53375
28740,다사666416,0,666,416,False,53376
28741,다사496482,0,496,482,False,53377
28742,다사645504,0,645,504,False,53378
28743,다사384507,0,384,507,False,53379
28744,다사592483,0,592,483,False,53380
28745,다사594395,0,594,395,False,53381
28746,다사541546,0,541,546,False,53382
28747,다사513574,0,513,574,False,53383
28748,다사532458,0,532,458,False,53384
28749,다사546415,0,546,415,False,53385
28750,다사644483,0,644,483,False,53386
28751,다사393545,0,393,545,False,53360
28752,다사559585,0,559,585,False,53358
28753,다사550578,0,550,578,False,53388
28754,다사387560,0,387,560,False,53343
28755,다사370514,0,370,514,False,53331
28756,다사608600,0,608,600,False,53332
28757,다사377505,0,377,505,False,53333
28758,다사582617,0,582,617,False,53334
28759,다사449476,0,449,476,False,53335
28760,다사509475,0,509,475,False,53336
28761,다사646422,0,646,422,False,53337
28762,다사504379,0,504,379,False,53338
28763,다사412532,0,412,532,False,53339
28764,다사536406,0,536,406,False,53340
28765,다사544568,0,544,568,False,53341
28766,다사621462,0,621,462,False,53342
28767,다사647578,0,647,578,False,53344
28768,다사518410,0,518,410,False,53357
28769,다사371523,0,371,523,False,53345
28770,다사665514,0,665,514,False,53346
28771,다사621478,0,621,478,False,53347
28772,다사619461,0,619,461,False,53348
28773,다사632384,0,632,384,False,53349
28774,다사402466,0,402,466,False,53350
28775,다사686517,0,686,517,False,53351
28776,다사547462,0,547,462,False,53352
28777,다사599545,0,599,545,False,53353
28778,다사412539,0,412,539,False,53354
28779,다사449420,0,449,420,False,53355
28780,다사582544,0,582,544,False,53356
28781,다사656429,0,656,429,False,53387
28782,다사635418,0,635,418,False,53389
28783,다사541586,0,541,586,False,53329
28784,다사390502,0,390,502,False,53433
28785,다사505382,0,505,382,False,53421
28786,다사465544,0,465,544,False,53422
28787,다사563586,0,563,586,False,53423
28788,다사381530,0,381,530,False,53424
28789,다사588400,0,588,400,False,53425
28790,다사653421,0,653,421,False,53426
28791,다사545613,0,545,613,False,53427
